latitude,longitude
53.31491112,-6.229696
53.38554602,-6.2395373
53.31488173,-6.24602676
53.32410804,-6.31277589
53.39354991,-6.31091673
53.32423879,-6.24982902
53.3623922,-6.23850767
53.3830645,-6.19931751
53.37494471,-6.3251803
53.37630272,-6.25640223
53.32650918,-6.25384051
53.31766808,-6.27159447
53.34367909,-6.33776108
53.35083469,-6.21528615
53.30500458,-6.30667951
53.30201469,-6.27463443
53.39304228,-6.31379278
53.36294338,-6.29788821
53.33249288,-6.31211997
53.39291512,-6.22328601
53.36391186,-6.31964633
53.36814145,-6.20618914
53.32470698,-6.21040402
53.34794101,-6.17122071
53.3208719,-6.28102519
53.39906453,-6.25491742
53.31320033,-6.23255189
53.34995521,-6.21655318
53.37796381,-6.22006773
53.39887751,-6.26664662
53.33267454,-6.32511865
53.35110046,-6.35018228
53.33230933,-6.17665467
53.30691396,-6.25888874
53.30095323,-6.22655445
53.39719927,-6.25876852
53.35063818,-6.32656354
53.36241642,-6.30996452
53.31650069,-6.32597439
53.35440453,-6.31952086
53.36123912,-6.31410643
53.38764721,-6.31208906
53.35388055,-6.34969716
53.35378403,-6.31429431
53.36992037,-6.25808434
53.39110679,-6.25408986
53.31406557,-6.22563994
53.39044486,-6.2942826
53.33575543,-6.28641982
53.33642154,-6.33741291
53.3641934,-6.323189
53.3423343,-6.17802665
53.30564755,-6.27031215
53.30451226,-6.22251099
53.33557701,-6.23607955
53.37302574,-6.31846059
53.35396661,-6.28454293
53.35996169,-6.1826467
53.32233976,-6.29862969
53.37690318,-6.26763217
53.30348173,-6.21455941
53.34621179,-6.33458725
53.35403148,-6.25883177
53.32277725,-6.28982488
53.31847886,-6.21153453
53.33205346,-6.25748929
53.35222498,-6.20844911
53.33228437,-6.29633478
53.38204403,-6.25120051
53.3195098,-6.21800098
53.34289171,-6.24125916
53.34595119,-6.29687269
53.3617359,-6.25130882
53.32698436,-6.25208857
53.3609614,-6.27593677
53.37401525,-6.25989745
53.37688608,-6.28598384
53.35011656,-6.28703483
53.39436249,-6.30561057
53.37179902,-6.21428829
53.31178932,-6.25876224
53.30103942,-6.26109037
53.31920332,-6.25144939
53.33194799,-6.30312869
53.32949454,-6.21810866
53.3614132,-6.20137652
53.32677996,-6.33674862
53.3929502,-6.240879
53.36147933,-6.26758022
53.34438369,-6.2696218
53.33128977,-6.2424908
53.32700646,-6.25350819
53.32469576,-6.30969641
53.33574522,-6.31415923
53.3811044,-6.31926065
53.38134718,-6.31270691
53.36862504,-6.33059526
53.32082213,-6.33052442
53.32343517,-6.28138041
53.37304766,-6.3058775
53.32018915,-6.27037237
53.3140887,-6.20815797
53.29797086,-6.28490247
53.32754131,-6.22218001
53.35582855,-6.26292529
53.33490561,-6.29639396
53.30631961,-6.28355175
53.39159693,-6.27532125
53.34639688,-6.19771994
53.39139509,-6.25908759
53.40129061,-6.25771672
53.38883335,-6.25565749
53.38539809,-6.24200633
53.33354682,-6.21675252
53.34662489,-6.3014005
53.32375356,-6.20361862
53.39190995,-6.22717626
53.33983793,-6.236213
53.311735,-6.31674809
53.36053435,-6.29802584
53.31613064,-6.20029492
53.34047826,-6.3433117
53.35746445,-6.19973023
53.40201288,-6.28065038
53.36591733,-6.2102724
53.32522249,-6.24534059
53.34728172,-6.34714514
53.34121319,-6.2499568
53.36142517,-6.18387587
53.33047098,-6.22402569
53.32468929,-6.20772268
53.38012358,-6.23869181
53.35021081,-6.32364637
53.33882745,-6.29960452
53.31230108,-6.23861713
53.32734364,-6.33480438
53.35469078,-6.21325616
53.34155181,-6.20164279
53.33661721,-6.26311048
53.35917933,-6.29413938
53.34926285,-6.30670287
53.30422492,-6.23711233
53.29765539,-6.26695396
53.34748533,-6.32964752
53.33913985,-6.32001203
53.37784107,-6.28152218
53.3315256,-6.27200596
53.35707171,-6.26309069
